"cz15900","Columbus, OH",22900
"cz5800","Dickson, TN",22826
"cz13600","South Bend, IN & MI",22821
"cz14200","Indianapolis, IN",22814
"cz6600","Rome, AL & GA",22763
"cz11600","Detroit, MI",22744
"cz1900","Jacksonville, NC",22731
"cz1400","Fayetteville, NC",22706
"cz8900","Macon, GA",22695
"cz11001","Mobile, AL",22687
"cz500","Greensboro, NC & VA",22678
"cz401","Winston-Salem, NC",22613
"cz18000","Buffalo, NY",22610
"cz9701","Columbus, AL & GA",22591
"cz1301","Bennettsville, SC",22496
"cz2700","Gulfport, MS",22495
"cz8800","Savannah, GA & SC",22487
"cz24300","Chicago, IL",22361
"cz1001","Boone, NC & TN",22346
"cz10900","Pensacola, FL",22339
"cz10801","Tuscaloosa, AL",22335
"cz2600","Roanoke Rapids, NC & VA",22326
"cz1302","Florence, SC",22321
"cz12501","Dayton, OH",22314
"cz6100","Gadsden, AL",22307
"cz10101","Bainbridge, GA",22218
"cz13700","Concord, IN & MI",22208
"cz6401","Chattanooga, GA & TN",22156
"cz9600","LaGrange, AL & GA",22144
"cz11102","Troy, AL",22135
"cz1100","Hickory, NC",22098
"cz10400","Meridian, MS",22077
"cz9302","Toccoa, GA",22067
"cz15100","Lorain, OH",22062
"cz17700","Syracuse, NY",22042
"cz302","Knoxville, TN",22009
"cz900","Charlotte, NC & SC",22005
"cz10501","Columbus, AL & MS",21991
"cz10000","Panama City, FL",21982
"cz10302","Dothan, AL",21937
"cz11101","Montgomery, AL",21915
"cz11900","Saginaw, MI",21855
"cz12100","Kalamazoo, MI",21847
"cz16500","Erie, NY & PA",21844
"cz800","Gastonia, NC",21790
"cz1600","Wilson, NC",21782
"cz9301","Winder, GA",21766
"cz7600","Jacksonville, FL & GA",21745
"cz10301","Eufaula, AL & GA",21697
"cz4901","Jackson, TN",21679
"cz12701","Cincinnati, KY & OH",21648
"cz13501","Toledo, MI & OH",21633
"cz9003","Dublin, GA",21633
"cz8402","Washington, GA",21626
"cz601","North Wilkesboro, NC",21595
"cz9900","Tallahassee, FL",21560
"cz8501","Fitzgerald, GA",21415
"cz4602","Somerset, KY & TN",21339
"cz24000","Kenosha, WI",21313
"cz16000","Mansfield, OH",21279
"cz16400","Youngstown, OH & PA",21208
"cz10502","Starkville, MS",21164
"cz12200","Grand Rapids, MI",21152
"cz12502","Washington Court House, OH",21078
"cz1500","Wilmington, NC",21076
"cz25500","Centralia, IL",21033
"cz9001","Vidalia, GA",21017
"cz25602","Harrisburg, IL",20982
"cz5100","Corinth, MS & TN",20981
"cz8702","Statesboro, GA",20960
"cz23500","Decatur, IL",20949
"cz15200","Cleveland, OH",20895
"cz8201","Barnwell, SC",20850
"cz9702","Americus, GA",20849
"cz1204","Andrews, GA & NC",20786
"cz24200","Bourbonnais, IL",20756
"cz8601","Waycross, GA",20632
"cz1702","Henderson, NC",20592
"cz602","Galax, NC & VA",20586
"cz9002","Milledgeville, GA",20441
"cz10200","Albany, GA",20422
"cz9200","Griffin, GA",20339
"cz7900","Gainesville, FL",20263
"cz24100","Milwaukee, WI",20189
"cz7700","Lake City, FL",20065
"cz17000","Pikeville, KY & WV",19693
"cz301","Middlesborough, KY & TN",19553
"cz8503","Valdosta, GA",19466
"cz6302","Cookeville, TN",19186
"cz8502","Cordele, GA",19175
"cz10102","Thomasville, GA",19103
"cz23302","Douglas, IL",18411
"cz4502","Hazard, KY",18320
"cz11203","Big Stone Gap, VA",16192
"cz1202","Sylva, NC",0
"cz20002","Calais, ME",0
"cz11403","Sault Ste. Marie, MI",0
"cz22602","Shawano, WI",0
"cz21004","Rhinelander, WI",0
"cz12302","Petoskey, MI",0
"cz1201","Franklin, GA & NC",0
"cz4501","West Liberty, KY",0
"cz14801","Olney, IL",0
"cz20301","Berlin, NH & VT",0
"cz6501","Ellijay, GA",0
"cz16703","Buckhannon, WV",0
"cz20403","Oak Bluffs, MA",0
"cz16802","Summersville, WV",0
"cz16902","Spencer, WV",0
"cz18202","St. Marys, PA",0
"cz16701","Elkins, WV",0
"cz20402","Nantucket, MA",0
