"cz10400","Meridian, MS",19870
"cz14700","Evansville, IL & IN",18785
"cz10801","Tuscaloosa, AL",15730
"cz17100","Huntington, KY & OH & WV",10877
"cz2800","Laurel, MS",0
"cz8701","Hinesville, GA",0
"cz25401","Paducah, IL & KY",0
"cz17300","Staunton, VA",0
"cz15400","Zanesville, OH",0
"cz13300","Findlay, OH",0
"cz12800","Washington, IN",0
"cz19903","Chincoteague, VA",0
"cz17200","Harrisonburg, VA & WV",0
"cz18900","Williamsport, PA",0
"cz6402","Crossville, TN",0
"cz1201","Franklin, GA & NC",0
"cz5402","Glasgow, KY & TN",0
"cz12903","Danville, KY",0
"cz10501","Columbus, AL & MS",0
"cz11303","Colonial Beach, VA",0
"cz2200","South Boston, VA",0
"cz4501","West Liberty, KY",0
"cz9702","Americus, GA",0
"cz13102","Madison, IN & KY",0
"cz14801","Olney, IL",0
"cz9800","Auburn, AL",0
"cz301","Middlesborough, KY & TN",0
"cz10802","Demopolis, AL",0
"cz402","Martinsville, VA",0
"cz24200","Bourbonnais, IL",0
"cz11203","Big Stone Gap, VA",0
"cz20301","Berlin, NH & VT",0
"cz10101","Bainbridge, GA",0
"cz6501","Ellijay, GA",0
"cz9003","Dublin, GA",0
"cz17501","Cumberland, MD & WV",0
"cz4601","Campbellsville, KY",0
"cz602","Galax, NC & VA",0
"cz16702","Morgantown, WV",0
"cz25402","Murray, KY",0
"cz1204","Andrews, GA & NC",0
"cz13103","Bardstown, KY",0
"cz8602","Brunswick, GA",0
"cz16703","Buckhannon, WV",0
"cz8601","Waycross, GA",0
"cz18500","Amsterdam, NY",0
"cz4602","Somerset, KY & TN",0
"cz17502","Winchester, VA & WV",0
"cz15600","Wheeling, OH & WV",0
"cz11201","Bluefield, VA & WV",0
"cz13502","Defiance, OH",0
"cz2100","Washington, NC",0
"cz4401","London, KY",0
"cz5401","Bowling Green, KY",0
"cz16200","Altoona, PA",0
"cz9002","Milledgeville, GA",0
"cz23302","Douglas, IL",0
"cz4502","Hazard, KY",0
"cz12600","Wayne, IN",0
"cz12702","Maysville, KY",0
